,name,iata,oaci,fleet_size,img_ext,timestamp
147,Air Taxi & Charter International,IBJ,,1,placeholder,2024-02-09 12:15:35.340320
148,Air Tetiaroa,TOA,,7,placeholder,2024-02-09 12:15:35.340320
149,Air Thanlwin,RTL,ST,4,https://images.flightradar24.com/assets/airlines/logotypes/1290.png,2024-02-09 12:15:35.340320
150,Air Tindi,TIN,8T,8,https://images.flightradar24.com/assets/airlines/logotypes/1161.png,2024-02-09 12:15:35.340320
151,Air Transat,TSC,TS,43,https://images.flightradar24.com/assets/airlines/logotypes/225.png,2024-02-09 12:15:35.340320
152,Air Transport Europe,EAT,,9,placeholder,2024-02-09 12:15:35.340320
153,Air Transport International,ATN,8C,12,https://www.flightradar24.com/static/images/data/operators/ATN_logo0.png,2024-02-09 12:15:35.340320
154,Air Travel,OTC,A6,15,https://images.flightradar24.com/assets/airlines/logotypes/1529.png,2024-02-09 12:15:35.340320
155,Air Urga,URG,3N,3,https://www.flightradar24.com/static/images/data/operators/URG_logo0.png,2024-02-09 12:15:35.340320
156,Air Vanuatu,AVN,NF,3,https://images.flightradar24.com/assets/airlines/logotypes/293.png,2024-02-09 12:15:35.340320
157,Air Volta,VLB,,4,placeholder,2024-02-09 12:15:35.340320
158,Air Wisconsin,AWI,ZW,2,https://www.flightradar24.com/static/images/data/operators/AWI_logo0.png,2024-02-09 12:15:35.340320
159,Air X Charter,AXY,,17,https://images.flightradar24.com/assets/airlines/logotypes/543.png,2024-02-09 12:15:35.340320
160,Air Zimbabwe,AZW,UM,3,https://www.flightradar24.com/static/images/data/operators/AZW_logo0.png,2024-02-09 12:15:35.340320
161,Air-Glaciers,AGV,,23,placeholder,2024-02-09 12:15:35.340320
162,Air-Taxi Europe,TWG,,4,placeholder,2024-02-09 12:15:35.340320
163,Air1Air,INA,,2,placeholder,2024-02-09 12:15:35.340320
164,Air65 Aviation,FGB,,1,placeholder,2024-02-09 12:15:35.340320
165,AirACT,RUN,9T,4,https://images.flightradar24.com/assets/airlines/logotypes/452.png,2024-02-09 12:15:35.340320
166,AirAsia,AXM,AK,205,https://images.flightradar24.com/assets/airlines/logotypes/25.png,2024-02-09 12:15:35.340320
167,AirAsia X,XAX,D7,25,https://images.flightradar24.com/assets/airlines/logotypes/432.png,2024-02-09 12:15:35.340320
168,AirBlue,ABQ,PA,12,https://www.flightradar24.com/static/images/data/operators/ABQ_logo0.png,2024-02-09 12:15:35.340320
169,AirBridgeCargo Airlines,ABW,RU,16,https://www.flightradar24.com/static/images/data/operators/ABW_logo0.png,2024-02-09 12:15:35.340320
170,Airbus,AIB,,926,https://images.flightradar24.com/assets/airlines/logotypes/866.png,2024-02-09 12:15:35.340320
171,Airbus Transport International,BGA,4Y,11,https://images.flightradar24.com/assets/airlines/logotypes/865.png,2024-02-09 12:15:35.340320
172,Aircalin,ACI,SB,7,https://images.flightradar24.com/assets/airlines/logotypes/321.png,2024-02-09 12:15:35.340320
173,Aircompany RusJet,RSJ,,15,placeholder,2024-02-09 12:15:35.340320
174,Aircraft Management Group,RVJ,,11,placeholder,2024-02-09 12:15:35.340320
175,Airest,AEG,,5,https://images.flightradar24.com/assets/airlines/logotypes/1344.png,2024-02-09 12:15:35.340320
176,AirExplore,AXE,ED,8,https://images.flightradar24.com/assets/airlines/logotypes/778.png,2024-02-09 12:15:35.340320
177,Airfast Indonesia,AFE,,11,placeholder,2024-02-09 12:15:35.340320
178,AirGO Private Airline,XGO,,4,placeholder,2024-02-09 12:15:35.340320
179,Airhub Airlines,GJM,RE,2,https://images.flightradar24.com/assets/airlines/logotypes/1697.png,2024-02-09 12:15:35.340320
180,Airkenya Express,XAK,P2,6,placeholder,2024-02-09 12:15:35.340320
181,Airlec Air Espace,ARL,,8,placeholder,2024-02-09 12:15:35.340320
182,Airlift,ALI,,10,placeholder,2024-02-09 12:15:35.340320
183,Airlink,JAR,,16,https://images.flightradar24.com/assets/airlines/logotypes/593.png,2024-02-09 12:15:35.340320
184,Airlink,LNK,4Z,68,https://images.flightradar24.com/assets/airlines/logotypes/384.png,2024-02-09 12:15:35.340320
185,AirNet,USC,,28,https://images.flightradar24.com/assets/airlines/logotypes/308.png,2024-02-09 12:15:35.340320
186,Airnorth,ANO,TL,9,https://www.flightradar24.com/static/images/data/operators/ANO_logo0.png,2024-02-09 12:15:35.340320
187,Airpac Airlines,APC,,8,https://images.flightradar24.com/assets/airlines/logotypes/506.png,2024-02-09 12:15:35.340320
188,AirSERBIA,ASL,JU,30,https://images.flightradar24.com/assets/airlines/logotypes/38.png,2024-02-09 12:15:35.340320
189,AirSF Flight Services,XSN,,5,placeholder,2024-02-09 12:15:35.340320
190,AirShare,XSR,,64,https://images.flightradar24.com/assets/airlines/logotypes/946.png,2024-02-09 12:15:35.340320
191,AirSial,SIF,PF,5,https://images.flightradar24.com/assets/airlines/logotypes/1557.png,2024-02-09 12:15:35.340320
192,AirSmart,XSM,,7,https://images.flightradar24.com/assets/airlines/logotypes/1872.png,2024-02-09 12:15:35.340320
193,AirSprint,ASP,,34,https://images.flightradar24.com/assets/airlines/logotypes/507.png,2024-02-09 12:15:35.340320
194,Airstream,AQS,,3,https://images.flightradar24.com/assets/airlines/logotypes/2155.png,2024-02-09 12:15:35.340320
195,AirSWIFT,ATX,T6,5,https://images.flightradar24.com/assets/airlines/logotypes/949.png,2024-02-09 12:15:35.340320
196,AirTanker,TOW,9L,3,https://images.flightradar24.com/assets/airlines/logotypes/20.png,2024-02-09 12:15:35.340320
197,Airtask,DCT,,2,placeholder,2024-02-09 12:15:35.340320
198,AirTraffic,ATY,,2,placeholder,2024-02-09 12:15:35.340320
199,Airwork,AWK,,11,placeholder,2024-02-09 12:15:35.340320
200,AIS Airlines,PNX,,7,https://images.flightradar24.com/assets/airlines/logotypes/1176.png,2024-02-09 12:15:35.340320
201,Aitheras Aviation Group,PXG,,4,placeholder,2024-02-09 12:15:35.340320
202,AIX Connect,IAD,I5,25,https://images.flightradar24.com/assets/airlines/logotypes/402.png,2024-02-09 12:15:35.340320
203,Ajet,TKJ,,2,placeholder,2024-02-09 12:15:35.340320
204,Akasa Air,AKJ,QP,23,https://images.flightradar24.com/assets/airlines/logotypes/2061.png,2024-02-09 12:15:35.340320
205,Alante Air Charter,SVL,,3,placeholder,2024-02-09 12:15:35.340320
206,Alaska Airlines,ASA,AS,314,https://images.flightradar24.com/assets/airlines/logotypes/193.png,2024-02-09 12:15:35.340320
207,Alaska Central Express,AER,KO,20,https://images.flightradar24.com/assets/airlines/logotypes/893.png,2024-02-09 12:15:35.340320
208,AlbaStar,LAV,AP,5,https://www.flightradar24.com/static/images/data/operators/LAV_logo0.png,2024-02-09 12:15:35.340320
209,Albatros Airlines,GAL,G0,1,placeholder,2024-02-09 12:15:35.340320
210,Albawings,AWT,2B,4,https://images.flightradar24.com/assets/airlines/logotypes/999.png,2024-02-09 12:15:35.340320
211,Albinati Aeronautics,LUC,,1,placeholder,2024-02-09 12:15:35.340320
212,Alexandria Airlines,KHH,DQ,2,placeholder,2024-02-09 12:15:35.340320
213,Alfa Airlines,AAJ,5E,2,placeholder,2024-02-09 12:15:35.340320
214,Alidaunia,LID,D4,10,placeholder,2024-02-09 12:15:35.340320
215,Aliserio,TJD,,9,https://images.flightradar24.com/assets/airlines/logotypes/1647.png,2024-02-09 12:15:35.340320
216,ALK Airlines,VBB,,4,placeholder,2024-02-09 12:15:35.340320
217,Alkan Air,ALN,,2,placeholder,2024-02-09 12:15:35.340320
218,Alkan Air,AKN,,19,https://images.flightradar24.com/assets/airlines/logotypes/1427.png,2024-02-09 12:15:35.340320
219,All Nippon Airways,ANA,NH,240,https://images.flightradar24.com/assets/airlines/logotypes/26.png,2024-02-09 12:15:35.340320
220,Allegiant Air,AAY,G4,127,https://www.flightradar24.com/static/images/data/operators/AAY_logo0.png,2024-02-09 12:15:35.340320
221,Alliance Air,LLR,9I,22,https://images.flightradar24.com/assets/airlines/logotypes/1228.png,2024-02-09 12:15:35.340320
222,Alliance Airlines,UTY,QQ,51,https://www.flightradar24.com/static/images/data/operators/UTY_logo0.png,2024-02-09 12:15:35.340320
223,Allied Air,AJK,4W,4,https://www.flightradar24.com/static/images/data/operators/AJK_logo0.png,2024-02-09 12:15:35.340320
224,AlMasria Universal Airlines,LMU,UJ,6,https://images.flightradar24.com/assets/airlines/logotypes/1080.png,2024-02-09 12:15:35.340320
