SCHOOL NAME,NUM STUDENTS
M.S. 51 William Alexander,593
M.S. 571,210
M.S. 582,452
M.S. 584,333
M.S. K266 - Park Place Community Middle School,292
M.S. K394,642
M.S. M245 The Computer School,108
M.S. M247 Dual Language Middle School,455
M.S. X101 Edward R. Byrne,468
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,159
MANHATTAN BUSINESS ACADEMY,362
MOTT HALL BRIDGES MIDDLE SCHOOL,153
MOTT HALL COMMUNITY SCHOOL,204
MS 142 John Philip Sousa,606
MURRAY HILL ACADEMY,79
Magnet School for Science & Technology,198
"Magnet School of Math, Science and Design Technology",342
Manhattan / Hunter Science High School,302
Manhattan Bridges High School,375
Manhattan Center for Science and Mathematics,990
Manhattan Comprehensive Night and Day High School,693
Manhattan International High School,345
Manhattan Theatre Lab High School,388
Manhattan Village Academy,484
Marble Hill High School for International Studies,750
Mark Twain I.S. 239 for the Gifted & Talented,641
Marta Valle High School,523
Martin Van Buren High School,894
Medgar Evers College Preparatory School,613
Metropolitan Corporate Academy High School,584
Metropolitan Diploma Plus High School,359
"Metropolitan High School, The",524
Middle College High School at LaGuardia Community College,412
Middle School 322,596
Middle School for Academic and Social Excellence,342
Middle School for Art and Philosophy,373
Middle School for the Arts,809
Middle School of Marketing and Legal Studies,403
Midwood High School,1181
Millennium Art Academy,593
Millennium High School,732
Monroe Academy for Business/Law,498
Monroe Academy for Visual Arts & Design,477
Morris Academy for Collaborative Studies,692
Mosaic Preparatory Academy,163
Mott Hall Bronx High School,388
Mott Hall High School,589
Mott Hall II,407
Mott Hall III,431
Mott Hall IV,401
Mott Hall V,771
Mott Haven Village Preparatory High School,644
Multicultural High School,285
Murry Bergtraum High School for Business Careers,838
Muscota,104
N.Y.C. Lab School for Collaborative Studies,952
N.Y.C. Museum School,800
NYC iSchool,536
Neighborhood School,140
New Day Academy,813
New Design High School,572
"New Explorations into Science, Technology and Math High School",770
New Explorers High School,565
New Horizons School,164
New Millennium Business Academy Middle School,255
New Utrecht High School,922
New Voices School of Academic & Creative Arts,447
New World High School,260
New York City Lab Middle School for Collaborative Studies,404
Newtown High School,910
Norman Thomas High School,674
North Queens Community High School,317
Olympus Academy,74
P.S. / I.S. 224,374
P.S. / I.S. 266,611
P.S. / I.S. 54,183
P.S. / M.S. 114 Belle Harbor,516
P.S. 001 Alfred E. Smith,181
P.S. 001 Courtlandt School,268
P.S. 001 The Bergen,311
P.S. 002 Meyer London,281
P.S. 002 Morrisania,65
P.S. 003 Charrette School,151
P.S. 003 The Bedford Village,196
P.S. 004 Duke Ellington,246
P.S. 005 Dr. Ronald Mcnair,140
P.S. 005 Ellen Lurie,231
P.S. 005 Port Morris,190
P.S. 006,241
P.S. 006 Lillie D. Blake,334
P.S. 006 West Farms,195
P.S. 007 Abraham Lincoln,130
P.S. 007 Kingsbridge,211
P.S. 007 Louis F. Simeone,190
P.S. 007 Samuel Stern,341
P.S. 008 Issac Varian,221
